request_id,timestamp,actual_draw_time_sec,estimated_draw_time_sec,is_simulated,hardware_status,source_tag
cancel-twice-001,2026-09-21T07:28:26.386302,,49,True,cancelled,simulator
cancel-done-001,2026-09-21T07:28:28.886724,49.8,49,True,done,simulator
cancel-run-001,2026-09-21T07:28:28.996538,,49,True,cancelled,simulator
lifecycle-001,2026-09-21T07:28:31.677331,50.01,49,True,done,simulator
metric-csv-001,2026-09-21T07:28:34.231476,49.67,49,True,done,simulator
pause-done-001,2026-09-21T07:28:36.830827,50.07,49,True,done,simulator
flags-001,2026-09-21T07:28:39.443201,49.73,49,True,done,simulator
axifake-done-1,2026-09-21T07:28:39.607369,0,49,False,done,axidraw_fake_driver
axifake-conc-1,2026-09-21T07:28:39.999351,0,49,False,done,axidraw_fake_driver
axifake-pause-1,2026-09-21T07:28:40.032494,0,49,False,done,axidraw_fake_driver
axifake-prog-1,2026-09-21T07:28:40.059121,0,49,False,done,axidraw_fake_driver
axifake-001,2026-09-21T07:28:40.059092,0,49,False,done,axidraw_fake_driver
cancel-twice-001,2026-09-21T07:39:47.649979,,55,True,cancelled,simulator
cancel-done-001,2026-09-21T07:39:50.463704,56.06,55,True,done,simulator
cancel-run-001,2026-09-21T07:39:50.574997,,55,True,cancelled,simulator
lifecycle-001,2026-09-21T07:39:53.570798,56.04,55,True,done,simulator
metric-csv-001,2026-09-21T07:39:56.439676,55.93,55,True,done,simulator
pause-done-001,2026-09-21T07:39:59.361540,56.22,55,True,done,simulator
flags-001,2026-09-21T07:40:02.274032,56.19,55,True,done,simulator
axifake-done-1,2026-09-21T07:40:02.438373,0,55,False,done,axidraw_fake_driver
axifake-conc-1,2026-09-21T07:40:02.826880,0,55,False,done,axidraw_fake_driver
axifake-pause-1,2026-09-21T07:40:02.843243,0,55,False,done,axidraw_fake_driver
cancel-twice-001,2026-09-21T07:43:45.783001,,55,True,cancelled,simulator
cancel-done-001,2026-09-21T07:43:48.542410,55.0,55,True,done,simulator
cancel-run-001,2026-09-21T07:43:48.652967,,55,True,cancelled,simulator
lifecycle-001,2026-09-21T07:43:51.628579,56.02,55,True,done,simulator
metric-csv-001,2026-09-21T07:43:54.494911,55.94,55,True,done,simulator
pause-done-001,2026-09-21T07:43:57.394815,56.05,55,True,done,simulator
flags-001,2026-09-21T07:44:00.301842,56.02,55,True,done,simulator
axifake-done-1,2026-09-21T07:44:00.452290,0,55,False,done,axidraw_fake_driver
axifake-conc-1,2026-09-21T07:44:00.844665,0,55,False,done,axidraw_fake_driver
axifake-prog-1,2026-09-21T07:44:00.892316,0,55,False,done,axidraw_fake_driver
axifake-pause-1,2026-09-21T07:44:00.892748,0,55,False,done,axidraw_fake_driver
cancel-twice-001,2026-09-21T07:49:28.271308,,55,True,cancelled,simulator
cancel-done-001,2026-09-21T07:49:31.080576,56.0,55,True,done,simulator
cancel-run-001,2026-09-21T07:49:31.189855,,55,True,cancelled,simulator
lifecycle-001,2026-09-21T07:49:34.167729,56.01,55,True,done,simulator
metric-csv-001,2026-09-21T07:49:36.994566,55.04,55,True,done,simulator
pause-done-001,2026-09-21T07:49:39.895181,56.03,55,True,done,simulator
flags-001,2026-09-21T07:49:42.805266,56.19,55,True,done,simulator
axifake-done-1,2026-09-21T07:49:42.953795,0,55,False,done,axidraw_fake_driver
axifake-conc-1,2026-09-21T07:49:43.366344,0,55,False,done,axidraw_fake_driver
axifake-pause-1,2026-09-21T07:49:43.390868,0,55,False,done,axidraw_fake_driver
smoke-1789977849,2026-09-21T08:04:15.224982+00:00,87.11,87,True,done,simulator
smoke-1789977862,2026-09-21T08:04:22.879706+00:00,0,87,True,done,axidraw_fake_driver
cancel-done-sim,2026-09-21T08:04:59.684739+00:00,87.64,87,True,done,simulator
lifecycle-sim-01,2026-09-21T08:05:03.301607+00:00,87.32,87,True,done,simulator
cancel-abort-test,2026-09-21T08:05:03.487199+00:00,,87,True,cancelled,axidraw_fake_driver
